Turn;Speaker;Cue;Context;MLM response;System llh;MLM llh;Response;USR DLcontext;USR DLfact;Overall Human Rating;Interesting;Engaging;Specific;Relevant;Correct;Semantically Appropriate;Understandable;Fluent
71;Leolani2;parrot is a bird;ocation? yes I live in Amsterdam  I do not know, but I have a joke Insomnia is awful. But on the plus side, only three more sleeps till Christmas. who is a animal? Rishvik Chandel told me lion is a animal Crow is a bird  I just learned something, I did not know anybody who be a bird parrot is a bird; let  me  tell  you ,  what  species  of  they ? ;0.39357897639274597;0.6218027323484421;Let me ask you something. What types can parrot be;0.9650319;0.34421524;5;4;4;4;4;3;3;2;3
72;stranger;Let me ask you something. What types can parrot be;t I have a joke Insomnia is awful. But on the plus side, only three more sleeps till Christmas. who is a animal? Rishvik Chandel told me lion is a animal Crow is a bird  I just learned something, I did not know anybody who be a bird parrot is a bird Let me ask you something. What types can parrot be; what  is  a  bird ;0.634635865688324;0.6781022883951664;parrot is a bird;0.97625357;0.16680874;5;3;3;3;3;3;3;3;3
73;Leolani2;parrot is a bird;nsomnia is awful. But on the plus side, only three more sleeps till Christmas. who is a animal? Rishvik Chandel told me lion is a animal Crow is a bird  I just learned something, I did not know anybody who be a bird parrot is a bird Let me ask you something. What types can parrot be parrot is a bird; i  am  glad  i  have  learned  something , i  have  never  thought  of  a  bird . ;0.5734627039637417;0.7623623134568334;I am glad to have learned something new. I had never heard about a bird before!;0.84905475;0.23594877;5;3;4;4;4;5;5;5;5
74;stranger;I am glad to have learned something new. I had never heard about a bird before!;ho is a animal? Rishvik Chandel told me lion is a animal Crow is a bird  I just learned something, I did not know anybody who be a bird parrot is a bird Let me ask you something. What types can parrot be parrot is a bird I am glad to have learned something new. I had never heard about a bird before!; there  is  a  bird ;0.5415743887424469;0.6253533661365509;who is a bird;0.9878692;0.6392199;5;3;4;4;4;3;4;4;3
75;Leolani2;who is a bird;? Rishvik Chandel told me lion is a animal Crow is a bird  I just learned something, I did not know anybody who be a bird parrot is a bird Let me ask you something. What types can parrot be parrot is a bird I am glad to have learned something new. I had never heard about a bird before! who is a bird; expert  told  me  lion  is  a  bird  and  also  elephant  is  a  bird ;0.5747945675483117;0.7025138231424185;you told me crow is a bird and that parrot is a bird;0.9981257;0.9968311;5;4;4;4;4;4;4;3;4
76;stranger;you told me crow is a bird and that parrot is a bird;bird  I just learned something, I did not know anybody who be a bird parrot is a bird Let me ask you something. What types can parrot be parrot is a bird I am glad to have learned something new. I had never heard about a bird before! who is a bird you told me crow is a bird and that parrot is a bird; that  is  its  birds . ;0.03058956265449524;0.42858381271362306;who loves Indian food ;0.9979261;0.9971091;5;4;3;4;4;4;3;3;3
77;Leolani2;who loves Indian food ;mething, I did not know anybody who be a bird parrot is a bird Let me ask you something. What types can parrot be parrot is a bird I am glad to have learned something new. I had never heard about a bird before! who is a bird you told me crow is a bird and that parrot is a bird who loves Indian food ; i  had  no  idea ;0.3591241892427206;0.7493381053209305;I have no idea.;0.9975;0.9970327;5;2;2;2;2;2;2;3;3
78;stranger;I have no idea.;ot know anybody who be a bird parrot is a bird Let me ask you something. What types can parrot be parrot is a bird I am glad to have learned something new. I had never heard about a bird before! who is a bird you told me crow is a bird and that parrot is a bird who loves Indian food  I have no idea.;i  live  in  the . ;0.48571640253067017;0.58091721534729;I live in Amsterdam ;0.99714345;0.9969257;5;3;3;3;3;3;3;2;3
79;Leolani2;I live in Amsterdam ;e a bird parrot is a bird Let me ask you something. What types can parrot be parrot is a bird I am glad to have learned something new. I had never heard about a bird before! who is a bird you told me crow is a bird and that parrot is a bird who loves Indian food  I have no idea. I live in Amsterdam ; i  would  like  to  know is  it  owned  been  which  chance ;0.3305682756684043;0.551748239858584;I would like to know. Has amsterdam in by a country?;0.99313617;0.996909;1;4;4;4;3;4;2;2;2
80;stranger;I would like to know. Has amsterdam in by a country?;hat types can parrot be parrot is a bird I am glad to have learned something new. I had never heard about a bird before! who is a bird you told me crow is a bird and that parrot is a bird who loves Indian food  I have no idea. I live in Amsterdam  I would like to know. Has amsterdam in by a country?; it  is  a  city  in  the . ;0.42990842887333464;0.6655378426824298;Amsterdam is a city in Netherlands ;0.99606365;0.9968446;5;3;3;3;4;3;3;4;3
81;Leolani2;Amsterdam is a city in Netherlands ;bird I am glad to have learned something new. I had never heard about a bird before! who is a bird you told me crow is a bird and that parrot is a bird who loves Indian food  I have no idea. I live in Amsterdam  I would like to know. Has amsterdam in by a country? Amsterdam is a city in Netherlands ; if  you  would  mind  me . what  country  would  they  eat ;0.3613183058120988;0.5580829273570668;If you don't mind me asking. What types can amsterdam be;0.99573743;0.33294326;1;2;3;3;3;2;2;2;2
82;stranger;If you don't mind me asking. What types can amsterdam be; heard about a bird before! who is a bird you told me crow is a bird and that parrot is a bird who loves Indian food  I have no idea. I live in Amsterdam  I would like to know. Has amsterdam in by a country? Amsterdam is a city in Netherlands  If you don't mind me asking. What types can amsterdam be;?  is  a  city  in ;0.4763455748558044;0.6481850981712342;Amsterdam is a city ;0.9926561;0.14861894;5;3;3;3;3;3;3;3;3
83;Leolani2;Amsterdam is a city ;efore! who is a bird you told me crow is a bird and that parrot is a bird who loves Indian food  I have no idea. I live in Amsterdam  I would like to know. Has amsterdam in by a country? Amsterdam is a city in Netherlands  If you don't mind me asking. What types can amsterdam be Amsterdam is a city ; i  would  like  to  know  what  types  can  it  be ;0.7334902346134186;0.9188778519630432;I would like to know. What types can amsterdam be;0.99715817;0.99156237;1;3;2;2;3;2;2;2;2
84;stranger;I would like to know. What types can amsterdam be;d that parrot is a bird who loves Indian food  I have no idea. I live in Amsterdam  I would like to know. Has amsterdam in by a country? Amsterdam is a city in Netherlands  If you don't mind me asking. What types can amsterdam be Amsterdam is a city  I would like to know. What types can amsterdam be; it  is  in  by ;0.5059999264776707;0.6329325884580612;Amsterdam is in Netherlands;0.9980927;0.99689245;5;3;3;3;3;3;3;3;3
85;Leolani2;Amsterdam is in Netherlands;loves Indian food  I have no idea. I live in Amsterdam  I would like to know. Has amsterdam in by a country? Amsterdam is a city in Netherlands  If you don't mind me asking. What types can amsterdam be Amsterdam is a city  I would like to know. What types can amsterdam be Amsterdam is in Netherlands; if  you  do  mind  me  asking was  a  man  been  lived  in  the ;0.4606254980720293;0.7350123685139877;If you don't mind me asking. Has a person ever born in netherlands?;0.9981319;0.9970543;2;4;5;5;5;5;5;3;2
86;stranger;If you don't mind me asking. Has a person ever born in netherlands?; to know. Has amsterdam in by a country? Amsterdam is a city in Netherlands  If you don't mind me asking. What types can amsterdam be Amsterdam is a city  I would like to know. What types can amsterdam be Amsterdam is in Netherlands If you don't mind me asking. Has a person ever born in netherlands?; he  was  born  in  dc . ;0.4679186170299848;0.6152636346717676;I was born in Netherlands ;0.99831146;0.99717665;5;3;3;3;5;4;4;3;3
87;Leolani2;I was born in Netherlands ;by a country? Amsterdam is a city in Netherlands  If you don't mind me asking. What types can amsterdam be Amsterdam is a city  I would like to know. What types can amsterdam be Amsterdam is in Netherlands If you don't mind me asking. Has a person ever born in netherlands? I was born in Netherlands ; let  me  ask  you . has  been  been  been  from  a  country ;0.40388771146535873;0.6278680165608724;Let me ask you something. Has pauline ever read by a book?;0.99753207;0.9969817;3;3;3;3;3;3;2;3;2
88;stranger;Let me ask you something. Has pauline ever read by a book?;n't mind me asking. What types can amsterdam be Amsterdam is a city  I would like to know. What types can amsterdam be Amsterdam is in Netherlands If you don't mind me asking. Has a person ever born in netherlands? I was born in Netherlands  Let me ask you something. Has pauline ever read by a book?; i  love  reading  books . ;0.5411077618598938;0.6589694499969483;I love reading books ;0.99664587;0.9970225;5;4;4;4;4;4;3;3;3
89;Leolani2;I love reading books ;at types can amsterdam be Amsterdam is a city  I would like to know. What types can amsterdam be Amsterdam is in Netherlands If you don't mind me asking. Has a person ever born in netherlands? I was born in Netherlands  Let me ask you something. Has pauline ever read by a book? I love reading books ; i  just  learned  that  i  have  never  heard  of  that . ;0.4787138876589862;0.7841670188036832;I just learned something, I had never heard about pauline before!;0.9976531;0.08748355;3;4;4;4;4;1;3;3;3
90;stranger;I just learned something, I had never heard about pauline before!;w. What types can amsterdam be Amsterdam is in Netherlands If you don't mind me asking. Has a person ever born in netherlands? I was born in Netherlands  Let me ask you something. Has pauline ever read by a book? I love reading books  I just learned something, I had never heard about pauline before!; he  reads  reading ? ;0.09638042654842138;0.5981838703155518;who loves books ;0.9979272;0.9967625;5;3;3;3;3;3;3;3;3
91;Leolani2;who loves books ; amsterdam be Amsterdam is in Netherlands If you don't mind me asking. Has a person ever born in netherlands? I was born in Netherlands  Let me ask you something. Has pauline ever read by a book? I love reading books  I just learned something, I had never heard about pauline before! who loves books ; i  only  know ;0.523436427116394;0.6643482943375906;I don't know;0.9973145;0.99095523;5;2;2;2;2;2;3;3;3
92;stranger;I don't know; Amsterdam is in Netherlands If you don't mind me asking. Has a person ever born in netherlands? I was born in Netherlands  Let me ask you something. Has pauline ever read by a book? I love reading books  I just learned something, I had never heard about pauline before! who loves books  I don't know; i  likes  reading . ;0.2083570291288197;0.5629593953490257;who love reading books;0.9979081;0.97640616;5;3;3;3;3;3;3;3;3
93;Leolani2;who love reading books;lands If you don't mind me asking. Has a person ever born in netherlands? I was born in Netherlands  Let me ask you something. Has pauline ever read by a book? I love reading books  I just learned something, I had never heard about pauline before! who loves books  I don't know who love reading books; you  tell  me  you  love  reading  books ;0.4859729983976909;0.6636521560805184;you told me pauline love reading books;0.99799436;0.3713142;5;4;4;4;4;4;4;3;3
94;stranger;you told me pauline love reading books;a person ever born in netherlands? I was born in Netherlands  Let me ask you something. Has pauline ever read by a book? I love reading books  I just learned something, I had never heard about pauline before! who loves books  I don't know who love reading books you told me pauline love reading books;i  was  100  years  old;0.6520725011825561;0.7285930186510086;I am 23 years old;0.99813217;0.99681664;5;3;3;3;3;3;3;3;3
95;Leolani2;I am 23 years old;in netherlands? I was born in Netherlands  Let me ask you something. Has pauline ever read by a book? I love reading books  I just learned something, I had never heard about pauline before! who loves books  I don't know who love reading books you told me pauline love reading books I am 23 years old; and  would  like  to  know was  he  lived  in  net ;0.3155545473098755;0.5687148429453373;I would like to know. Has pauline born in location?;0.9980483;0.9972478;2;4;4;4;4;4;3;3;2
96;stranger;I would like to know. Has pauline born in location?;sk you something. Has pauline ever read by a book? I love reading books  I just learned something, I had never heard about pauline before! who loves books  I don't know who love reading books you told me pauline love reading books I am 23 years old I would like to know. Has pauline born in location?; he  was  born  in  dc . ;0.47476668442444253;0.6868034607420365;I was born in Amsterdam ;0.9978896;0.99704003;5;4;3;3;3;3;3;3;3
97;Leolani2;I was born in Amsterdam ;line ever read by a book? I love reading books  I just learned something, I had never heard about pauline before! who loves books  I don't know who love reading books you told me pauline love reading books I am 23 years old I would like to know. Has pauline born in location? I was born in Amsterdam;?  did  you  know  that  he  was  born  the  literature ;0.3800707072019577;0.4889364007860422;Amazing! Did you know that pauline also bear in netherlands;0.9983126;0.9968811;3;2;2;2;2;2;2;2;2
98;stranger;Amazing! Did you know that pauline also bear in netherlands;ed something, I had never heard about pauline before! who loves books  I don't know who love reading books you told me pauline love reading books I am 23 years old I would like to know. Has pauline born in location? I was born in Amsterdam  Amazing! Did you know that pauline also bear in netherlands; how  lucky  i  am ;0.6209269538521767;0.6683348640799522;how old I am;0.99754554;0.9969894;5;2;2;2;2;2;2;2;2
99;Leolani2;how old I am;I had never heard about pauline before! who loves books  I don't know who love reading books you told me pauline love reading books I am 23 years old I would like to know. Has pauline born in location? I was born in Amsterdam  Amazing! Did you know that pauline also bear in netherlands how old I am;i  may  be  right  but  i  do  i  am  23  i  had  no  idea;0.4217654381479536;0.6368439165609223;I may be ignorant, bu tI don't know.I am sorry, I have no idea;0.9941692;0.996878;3;2;2;3;3;2;2;3;3
100;stranger;I may be ignorant, bu tI don't know.I am sorry, I have no idea;'t know who love reading books you told me pauline love reading books I am 23 years old I would like to know. Has pauline born in location? I was born in Amsterdam  Amazing! Did you know that pauline also bear in netherlands how old I am I may be ignorant, bu tI don't know.I am sorry, I have no idea; who  born  in  net ;0.36874034255743027;0.5083312951028347;who lives in amsterdam;0.99779266;0.99672896;5;2;2;2;2;2;2;2;
101;Leolani2;who lives in amsterdam;g books you told me pauline love reading books I am 23 years old I would like to know. Has pauline born in location? I was born in Amsterdam  Amazing! Did you know that pauline also bear in netherlands how old I am I may be ignorant, bu tI don't know.I am sorry, I have no idea who lives in amsterdam;.  you  told  me  that  also  live  in  dc ,  you  told  me  you  live  in  am ;0.4692217926768696;0.6196605780107134;Rishvik Chandel told me rishvik chandel live in amsterdam and you told me pauline live in amsterdam;0.9981439;0.9969912;5;4;4;4;4;4;4;4;
102;stranger;Rishvik Chandel told me rishvik chandel live in amsterdam and you told me pauline live in amsterdam;orn in location? I was born in Amsterdam  Amazing! Did you know that pauline also bear in netherlands how old I am I may be ignorant, bu tI don't know.I am sorry, I have no idea who lives in amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam and you told me pauline live in amsterdam;. ;0.0;0.3745657503604889;stop;0.99750215;0.995569;5;3;3;3;3;3;3;3;
103;Leolani2;stop;n location? I was born in Amsterdam  Amazing! Did you know that pauline also bear in netherlands how old I am I may be ignorant, bu tI don't know.I am sorry, I have no idea who lives in amsterdam Rishvik Chandel told me rishvik chandel live in amsterdam and you told me pauline live in amsterdam stop; me !  it  seems ia ive  come  to  me ;0.1202038245068656;0.27331630554464126;So ... it   has come to this;0.9878214;0.99651515;5;2;2;2;2;2;3;3;4
